name,2020,2030
Drones,19,102
Solar PV,180,641
Big data,73,252
Robotics,12,150
3D printing,13,51
Concentrated solar power,42,133
Gene editing,5,36
Nanotechnology,2,34
Blockchain,1,88
5G,6,621
Biofuels,6,59
Wind energy,71,175
Green hydrogen,1,89
Electric vehicles,163,824
Biogas and biomass,127,210
IoT,740,4422
AI,65,1582
