Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GDP per capita Core,4382.141,4496.46,4506.055,4616.593,4613.966,4759.33,5032.686,5118.357,4907.326,5146.988,5169.744,5283.465,5421.808,5518.705,5047.53,5064.836,5410.236,5219.321,5240.002,5173.149,5161.88,5070.143,5378.2,5583.937,5797.649,5940.06,6065.284,6154.554,6259.481,6435.559,6060.378,5709.624,5278.569,5347.474,5661.822,6076.13,6485.111,6871.83,6811.431,7256.893,7490.849,8033.263,8426.772,8809.167,8964.436,8183.364,7564.264,7629.164,7996.202,8128.976,8714.122,9216.867,9522.691,9917.603,10033.83,10638.44,10899.23,11131.9,11168.63,11772.05,12142.66,12484.04,13077,13533.26,14274.27,14872.89,15613.43,16070.55,16876.39,17675.29,18114.79,18599.01,19425.93,20425.49,20413.59,20387.6,21344.37,22094.2,23031.06,23912.45,24197.84,24046.88,23567.75,23808.28,24534.58,25005.48,25993.88,26915.47,28132.97,29074.93,29527.29,29819.46,30520.24,30909,31874.37,32781.33,33445.45,34671.88,35736.95,36905.43,38453.67,38653.66,38894,39193,40209.17,41460.39,42315.52,43275.29,43118.89,41425.5,42338.18,42914.27,43313.27,43921.93,44449.21,45060.5,45478.55
GDP per capita Periphery,1856.184,1879.447,1912.87,1939.64,1948.061,1956.181,1985.327,1973.615,1987.742,2054.119,2065.267,2083.637,2096.249,2101.125,2119.371,2114.741,2141.18,2139.73,2106.348,2177.037,2164.561,2205.388,2243.978,2248.206,2286.635,2313.675,2342.288,2365.647,2389.849,2430.299,2413.392,2380.231,2364.125,2376.322,2398.997,2409.4,2424.485,2445.594,2457.082,2483.691,2505.585,2519.324,2516.65,2529.892,2529.031,2499.094,2481.772,2561.043,2601.873,2612.011,2636.667,2675.786,2690.946,2749.702,2800.089,2832.788,2864.786,2897.37,2931.213,2949.369,3003.139,3092.07,3166.336,3229.182,3329.942,3408.556,3487.016,3571.73,3688.443,3816.691,3977.965,4099.398,4243.214,4456.471,4664.033,4743.04,4855.471,4919.481,4949.822,5021.389,5088.294,5057.043,4990.578,4942.359,4933.725,4959.466,4943.381,4989.702,5031.914,5079.511,5098.611,5037.146,5070.399,4963.624,4937.833,5038.341,5142.4,5191.567,5080.185,5117.57,5386.81,5426.397,5572.254,5722.065,6087.475,6577.694,7066.797,7621.913,8112.245,7977.976,8656.073,9337.403,9515.507,9633.881,9738.872,9922.537,9929.735
Global average CO2 per capita,1.184999943,1.215800047,1.236299992,1.337299943,1.340999961,1.415500045,1.473799944,1.651800036,1.575500011,1.624600053,1.688300014,1.707800031,1.77579999,1.907899976,1.718999982,1.683799982,1.80490005,1.874600053,1.835899949,1.579300046,1.82099998,1.585899949,1.649500012,1.855499983,1.845000029,1.848999977,1.799299955,1.94780004,1.921200037,2.044100046,1.864500046,1.65170002,1.473799944,1.53610003,1.653499961,1.717399955,1.86740005,1.975900054,1.839699984,1.927000046,2.083899975,2.11500001,2.089699984,2.109100103,2.127599955,1.755900025,1.902799964,2.090500116,2.182600021,2.096600056,2.366600037,2.468899965,2.457600117,2.482700109,2.491899967,2.684200048,2.807600021,2.848799944,2.877099991,2.972300053,3.092700005,3.045900106,3.094799995,3.198899984,3.307600021,3.388799906,3.481800079,3.519399881,3.63499999,3.796999931,4.025599957,4.104700089,4.211500168,4.348199844,4.248400211,4.178599834,4.32859993,4.372700214,4.429699898,4.476699829,4.372200012,4.193699837,4.087999821,4.042500019,4.108799934,4.171199799,4.156700134,4.209000111,4.295300007,4.27820015,4.270199776,4.291999817,4.104400158,4.085499763,4.055099964,4.083099842,4.146900177,4.115200043,4.04460001,4.043200016,4.107299805,4.089900017,4.131899834,4.288499832,4.430500031,4.52489996,4.617199898,4.696199894,4.723499775,4.598700047,4.792699814,4.894999981,4.907899857,4.893000126,4.870699883,4.809700012,4.749599934
